/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Juliane Hempelt
Cruise: PS113


Coverage:	LATITUDE: -48.73907 * LONGITUDE: -62.15592
	DATE/TIME START: 2018-05-10T11:22:58 * DATE/TIME END: 2018-05-10T13:03:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 30081m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
362	960.61	15.09	52.9	236	12.9
367	960.01	15.06	52.9	236	12.9
372	959.42	15.04	52.9	236	12.8
377	958.87	15.02	52.9	236	12.8
382	958.33	15.00	52.9	237	12.7
387	957.76	14.98	53.0	237	12.7
393	957.15	14.94	53.1	237	12.6
398	956.52	14.91	53.2	237	12.5
403	955.93	14.88	53.3	237	12.5
408	955.38	14.85	53.4	238	12.4
413	954.86	14.83	53.5	238	12.4
417	954.35	14.80	53.5	238	12.3
422	953.85	14.78	53.6	239	12.2
426	953.34	14.75	53.6	239	12.2
431	952.80	14.72	53.7	239	12.1
436	952.20	14.68	53.7	240	12.1
442	951.56	14.64	53.8	240	12.0
448	950.92	14.61	53.9	240	12.0
453	950.34	14.58	54.0	241	12.0
457	949.85	14.58	54.1	241	11.9
461	949.41	14.58	54.2	242	11.9
465	948.96	14.57	54.3	242	11.9
470	948.45	14.57	54.4	243	11.8
475	947.89	14.58	54.5	243	11.8
480	947.34	14.59	54.5	244	11.8
484	946.83	14.60	54.4	244	11.8
488	946.39	14.61	54.3	245	11.8
492	946.00	14.61	54.2	245	11.8
495	945.61	14.59	54.2	246	11.8
499	945.17	14.57	54.1	246	11.8
503	944.70	14.55	54.0	247	11.9
507	944.24	14.52	54.0	247	11.9
511	943.78	14.50	53.9	247	11.9
516	943.28	14.48	53.8	248	11.9
521	942.76	14.47	53.6	248	12.0
525	942.25	14.47	53.5	249	12.0
529	941.78	14.46	53.4	249	12.0
534	941.29	14.45	53.4	249	12.0
538	940.79	14.42	53.5	250	12.1
543	940.25	14.39	53.5	250	12.1
548	939.70	14.35	53.6	250	12.1
553	939.16	14.30	53.7	250	12.2
558	938.63	14.25	53.8	251	12.2
562	938.12	14.21	54.0	251	12.2
567	937.63	14.17	54.1	251	12.2
571	937.13	14.15	54.3	251	12.2
576	936.60	14.12	54.4	252	12.2
581	936.00	14.10	54.6	252	12.2
587	935.33	14.06	54.7	252	12.2
594	934.64	14.02	54.7	252	12.2
599	934.00	13.99	54.7	253	12.2
605	933.42	13.96	54.7	253	12.2
609	932.89	13.93	54.6	253	12.2
614	932.40	13.91	54.5	253	12.2
618	931.92	13.88	54.5	254	12.1
623	931.44	13.86	54.5	254	12.1
627	930.96	13.83	54.5	254	12.1
631	930.50	13.81	54.6	254	12.0
635	930.04	13.79	54.6	254	12.0
640	929.53	13.76	54.7	255	11.9
645	928.97	13.72	54.8	255	11.9
650	928.41	13.68	55.0	255	11.8
655	927.91	13.64	55.1	255	11.8
659	927.45	13.61	55.2	255	11.7
663	926.99	13.58	55.3	256	11.7
667	926.49	13.56	55.2	256	11.6
672	925.96	13.55	55.1	256	11.5
677	925.42	13.54	54.9	256	11.5
682	924.89	13.53	54.9	257	11.4
687	924.37	13.52	54.9	257	11.4
691	923.86	13.50	54.9	257	11.3
696	923.37	13.48	54.9	257	11.3
700	922.91	13.46	55.0	257	11.3
704	922.47	13.45	55.1	258	11.2
708	922.05	13.42	55.1	258	11.2
712	921.62	13.40	55.1	258	11.2
716	921.17	13.38	55.1	258	11.2
720	920.71	13.35	55.2	258	11.2
724	920.27	13.33	55.2	258	11.2
728	919.87	13.31	55.3	259	11.2
731	919.47	13.30	55.3	259	11.3
736	919.02	13.28	55.3	259	11.3
741	918.44	13.27	55.3	259	11.4
748	917.72	13.25	55.2	259	11.4
755	916.93	13.21	55.2	259	11.5
761	916.21	13.17	55.1	259	11.5
767	915.61	13.12	55.2	259	11.6
771	915.12	13.09	55.3	260	11.7
775	914.68	13.07	55.4	260	11.8
779	914.25	13.04	55.5	260	11.8
784	913.79	13.01	55.7	260	11.9
788	913.31	12.98	55.8	260	12.0
792	912.83	12.96	55.9	260	12.1
796	912.40	12.94	55.9	260	12.2
800	912.01	12.92	56.0	260	12.2
803	911.66	12.90	56.0	259	12.3
807	911.28	12.87	56.0	259	12.4
811	910.87	12.84	56.0	259	12.4
815	910.43	12.81	56.0	259	12.5
819	909.97	12.78	56.0	259	12.5
824	909.46	12.74	56.0	259	12.6
829	908.91	12.70	56.1	259	12.6
834	908.33	12.66	56.1	259	12.7
839	907.76	12.62	56.2	259	12.7
844	907.21	12.59	56.3	259	12.7
849	906.67	12.56	56.3	258	12.7
854	906.14	12.52	56.3	258	12.7
859	905.60	12.49	56.3	258	12.8
864	905.11	12.47	56.3	258	12.8
868	904.67	12.44	56.4	258	12.8
872	904.24	12.42	56.5	258	12.8
876	903.81	12.39	56.5	258	12.8
880	903.38	12.37	56.5	258	12.8
884	902.91	12.35	56.5	258	12.7
889	902.36	12.31	56.5	258	12.7
895	901.73	12.27	56.5	258	12.7
901	901.09	12.21	56.6	258	12.7
906	900.51	12.16	56.7	258	12.7
911	900.02	12.12	56.8	258	12.7
915	899.58	12.09	56.9	258	12.7
919	899.16	12.07	56.9	258	12.7
923	898.74	12.05	57.0	258	12.7
927	898.30	12.02	57.0	258	12.8
931	897.83	12.00	57.1	258	12.8
936	897.34	11.97	57.1	258	12.8
941	896.83	11.94	57.1	258	12.8
946	896.28	11.90	57.1	258	12.8
951	895.72	11.86	57.2	258	12.8
956	895.16	11.82	57.3	258	12.8
962	894.59	11.79	57.4	258	12.9
967	894.05	11.76	57.4	258	12.9
971	893.56	11.73	57.4	258	12.9
976	893.09	11.70	57.5	257	13.0
980	892.62	11.66	57.5	257	13.0
984	892.16	11.64	57.5	257	13.0
989	891.72	11.61	57.6	257	13.1
993	891.30	11.58	57.6	257	13.1
997	890.87	11.54	57.7	257	13.2
1001	890.42	11.51	57.7	257	13.2
1006	889.90	11.48	57.8	257	13.3
1012	889.28	11.44	57.9	257	13.3
1018	888.56	11.40	57.9	257	13.4
1026	887.79	11.35	57.9	257	13.5
1033	887.03	11.32	57.9	257	13.5
1039	886.34	11.31	57.7	257	13.6
1045	885.71	11.31	57.5	257	13.7
1051	885.11	11.31	57.3	257	13.8
1056	884.52	11.31	57.2	257	13.9
1062	883.95	11.31	57.1	257	14.0
1067	883.42	11.31	57.0	257	14.1
1071	882.96	11.33	56.7	257	14.2
1075	882.54	11.35	56.4	258	14.3
1079	882.12	11.35	56.2	258	14.4
1084	881.63	11.33	56.1	258	14.5
1089	881.11	11.31	56.0	257	14.6
1094	880.58	11.30	55.8	257	14.8
1099	880.06	11.29	55.6	257	14.9
1104	879.54	11.28	55.5	257	15.0
1109	879.00	11.25	55.4	257	15.1
1114	878.49	11.22	55.4	257	15.2
1118	878.02	11.19	55.4	256	15.3
1122	877.57	11.16	55.4	256	15.4
1127	877.09	11.13	55.4	256	15.5
1132	876.56	11.11	55.3	255	15.6
1137	876.01	11.10	55.3	255	15.7
1142	875.46	11.08	55.2	254	15.8
1148	874.91	11.06	55.1	254	15.9
1153	874.38	11.09	54.8	253	15.9
1158	873.82	11.16	54.4	253	16.0
1164	873.23	11.25	53.8	252	16.1
1170	872.61	11.31	53.3	252	16.1
1176	871.98	11.32	53.1	251	16.2
1182	871.28	11.31	52.9	251	16.2
1189	870.56	11.29	52.8	250	16.3
1196	869.90	11.25	52.8	249	16.3
1201	869.35	11.21	52.8	249	16.3
1205	868.87	11.16	52.9	248	16.4
1210	868.43	11.13	52.9	248	16.4
1214	867.99	11.11	52.9	247	16.4
1218	867.56	11.13	52.9	247	16.4
1223	867.07	11.23	52.6	247	16.4
1228	866.51	11.39	52.2	246	16.4
1234	865.92	11.55	51.7	246	16.4
1239	865.35	11.61	51.3	246	16.4
1245	864.80	11.60	51.1	245	16.3
1250	864.26	11.56	51.0	245	16.3
1255	863.70	11.51	51.0	245	16.3
1261	863.13	11.46	51.0	245	16.3
1266	862.58	11.41	51.1	245	16.2
1272	862.03	11.36	51.1	245	16.2
1277	861.45	11.30	51.2	245	16.1
1283	860.85	11.24	51.3	245	16.1
1289	860.22	11.18	51.4	245	16.0
1295	859.55	11.12	51.5	245	15.9
1302	858.89	11.06	51.6	246	15.9
1308	858.27	11.02	51.7	246	15.8
1314	857.70	10.98	51.8	246	15.8
1319	857.16	10.93	51.9	246	15.7
1324	856.61	10.88	52.1	247	15.6
1330	856.05	10.82	52.3	247	15.6
1335	855.46	10.76	52.5	247	15.5
1341	854.83	10.71	52.7	247	15.5
1348	854.20	10.65	52.8	248	15.4
1354	853.59	10.59	53.0	248	15.4
1359	853.01	10.54	53.1	248	15.3
1364	852.47	10.49	53.2	248	15.3
1369	851.96	10.45	53.3	249	15.2
1375	851.44	10.40	53.4	249	15.2
1380	850.90	10.36	53.5	249	15.2
1385	850.38	10.33	53.6	249	15.1
1390	849.86	10.30	53.7	250	15.1
1395	849.32	10.27	53.8	250	15.1
1401	848.77	10.22	53.9	250	15.1
1406	848.22	10.17	54.0	250	15.0
1411	847.69	10.12	54.2	250	15.0
1417	847.15	10.07	54.3	250	15.0
1422	846.61	10.04	54.4	250	15.0
1427	846.06	10.00	54.5	250	15.0
1433	845.52	9.95	54.6	250	15.0
1438	845.00	9.90	54.7	250	15.0
1443	844.50	9.85	54.9	250	15.0
1448	843.99	9.80	55.0	250	15.0
1453	843.44	9.76	55.1	250	15.1
1459	842.86	9.71	55.3	250	15.1
1465	842.26	9.65	55.4	250	15.1
1471	841.64	9.59	55.6	250	15.1
1477	841.00	9.52	55.7	250	15.1
1483	840.38	9.45	55.9	250	15.1
1489	839.80	9.40	56.1	250	15.1
1494	839.26	9.35	56.2	250	15.1
1500	838.70	9.30	56.4	250	15.1
1506	838.09	9.24	56.6	250	15.1
1513	837.42	9.17	56.8	250	15.1
1519	836.72	9.11	57.0	250	15.1
1526	836.07	9.04	57.3	250	15.1
1532	835.48	8.99	57.5	250	15.1
1537	834.92	8.94	57.8	250	15.1
1543	834.36	8.88	58.0	250	15.1
1548	833.79	8.83	58.1	250	15.1
1554	833.21	8.77	58.3	250	15.1
1560	832.61	8.71	58.5	250	15.1
1566	832.01	8.64	58.7	250	15.1
1572	831.39	8.58	58.9	250	15.1
1579	830.73	8.52	59.1	250	15.1
1586	830.05	8.46	59.3	250	15.1
1592	829.40	8.40	59.6	250	15.0
1598	828.81	8.34	59.7	250	15.0
1604	828.26	8.28	59.9	250	15.0
1609	827.70	8.23	60.0	250	15.0
1615	827.13	8.17	60.2	249	14.9
1621	826.52	8.12	60.4	249	14.9
1627	825.89	8.06	60.7	249	14.9
1633	825.26	7.99	60.9	249	14.9
1640	824.62	7.93	61.1	249	14.8
1646	824.00	7.87	61.2	248	14.8
1652	823.38	7.81	61.3	248	14.8
1659	822.74	7.75	61.5	248	14.7
1665	822.08	7.69	61.7	248	14.7
1672	821.43	7.63	61.9	247	14.7
1678	820.79	7.57	62.1	247	14.7
1685	820.17	7.51	62.3	247	14.6
1691	819.54	7.45	62.6	247	14.6
1697	818.93	7.39	62.8	246	14.6
1703	818.32	7.34	63.1	246	14.6
1709	817.71	7.29	63.4	246	14.6
1716	817.08	7.26	63.6	246	14.5
1722	816.42	7.25	63.8	246	14.5
1729	815.79	7.25	63.9	246	14.5
1735	815.20	7.23	63.9	245	14.5
1740	814.64	7.18	64.0	245	14.5
1746	814.08	7.11	64.2	245	14.4
1752	813.51	7.02	64.4	245	14.4
1758	812.91	6.93	64.6	246	14.4
1764	812.28	6.84	64.9	246	14.4
1771	811.63	6.77	65.1	246	14.4
1777	811.02	6.74	65.3	246	14.4
1783	810.46	6.71	65.5	246	14.4
1788	809.94	6.67	65.7	247	14.3
1793	809.44	6.63	65.8	247	14.3
1798	808.96	6.60	66.0	247	14.3
1803	808.46	6.58	66.1	247	14.3
1808	807.97	6.53	66.3	248	14.3
1812	807.52	6.47	66.4	248	14.3
1817	807.07	6.43	66.5	249	14.3
1822	806.61	6.44	66.3	249	14.3
1827	806.08	6.50	66.0	249	14.3
1833	805.49	6.54	65.6	250	14.3
1839	804.88	6.54	65.3	250	14.3
1845	804.30	6.51	65.3	251	14.3
1851	803.74	6.48	65.3	251	14.3
1857	803.19	6.44	65.3	251	14.3
1862	802.67	6.40	65.4	252	14.3
1867	802.20	6.35	65.5	252	14.4
1871	801.77	6.30	65.6	252	14.4
1876	801.33	6.25	65.8	253	14.4
1880	800.88	6.20	65.9	253	14.4
1885	800.43	6.16	66.1	253	14.5
1889	800.00	6.13	66.1	253	14.5
1893	799.58	6.11	66.1	254	14.5
1898	799.18	6.09	66.1	254	14.6
1902	798.78	6.06	66.1	254	14.6
1906	798.31	6.03	66.2	254	14.6
1912	797.75	5.99	66.2	254	14.7
1919	797.10	5.96	66.2	254	14.7
1926	796.42	5.93	66.2	254	14.7
1933	795.77	5.88	66.2	254	14.7
1938	795.20	5.83	66.3	254	14.8
1944	794.70	5.78	66.4	254	14.8
1949	794.21	5.74	66.6	254	14.8
1954	793.67	5.70	66.9	254	14.8
1960	793.07	5.64	67.2	254	14.8
1967	792.46	5.58	67.4	254	14.8
1972	791.91	5.53	67.6	254	14.8
1977	791.43	5.48	67.8	254	14.8
1982	790.99	5.44	67.9	254	14.8
1987	790.50	5.40	68.1	254	14.9
1993	789.95	5.34	68.2	255	14.9
1999	789.38	5.28	68.2	255	14.9
2004	788.84	5.23	68.3	255	14.9
2009	788.34	5.19	68.5	255	14.9
2014	787.86	5.15	68.7	255	14.9
2020	787.35	5.10	68.9	255	14.9
2025	786.79	5.04	69.1	255	14.9
2031	786.24	4.99	69.2	255	15.0
2037	785.69	4.94	69.3	255	15.0
2043	785.11	4.90	69.4	255	15.0
2049	784.49	4.85	69.4	255	15.0
2056	783.82	4.79	69.4	255	15.1
2063	783.15	4.73	69.6	254	15.1
2070	782.51	4.66	69.8	254	15.1
2076	781.92	4.59	70.0	254	15.2
2082	781.36	4.53	70.4	254	15.2
2088	780.80	4.47	70.7	254	15.2
2094	780.24	4.41	71.0	254	15.3
2099	779.70	4.37	71.2	254	15.3
2105	779.18	4.32	71.4	254	15.3
2110	778.68	4.28	71.6	254	15.4
2115	778.20	4.22	71.8	254	15.4
2120	777.75	4.17	71.9	254	15.4
2124	777.34	4.13	72.0	254	15.4
2128	776.93	4.09	72.2	254	15.5
2133	776.50	4.05	72.4	254	15.5
2138	776.02	4.00	72.7	254	15.5
2143	775.53	3.94	72.9	254	15.5
2148	775.04	3.89	73.0	255	15.5
2153	774.54	3.84	73.2	255	15.6
2159	774.03	3.79	73.3	255	15.6
2164	773.56	3.74	73.6	255	15.6
2168	773.13	3.69	73.8	255	15.6
2172	772.72	3.65	74.0	255	15.6
2176	772.33	3.61	74.3	256	15.6
2181	771.94	3.57	74.5	256	15.7
2185	771.52	3.53	74.7	256	15.7
2190	771.09	3.48	74.9	256	15.7
2194	770.70	3.44	75.0	257	15.7
2197	770.34	3.40	75.2	257	15.8
2201	770.01	3.37	75.4	257	15.8
2205	769.67	3.34	75.6	257	15.8
2208	769.30	3.31	75.7	257	15.9
2213	768.88	3.27	75.7	257	15.9
2218	768.39	3.22	75.7	257	15.9
2224	767.83	3.16	75.9	258	16.0
2230	767.23	3.10	76.1	258	16.0
2237	766.63	3.04	76.3	258	16.1
2243	766.06	2.98	76.6	258	16.1
2249	765.51	2.92	76.7	258	16.1
2254	764.99	2.86	76.9	258	16.2
2259	764.51	2.81	77.1	258	16.2
2264	764.05	2.77	77.3	258	16.2
2269	763.59	2.73	77.5	258	16.3
2274	763.08	2.69	77.5	258	16.3
2280	762.54	2.66	77.6	257	16.3
2286	761.93	2.62	77.6	257	16.4
2294	761.24	2.56	77.8	257	16.4
2302	760.48	2.49	77.9	257	16.4
2310	759.71	2.39	78.2	257	16.5
2317	759.04	2.31	78.5	257	16.5
2323	758.46	2.24	78.8	257	16.6
2330	757.88	2.18	79.1	257	16.7
2336	757.26	2.11	79.5	258	16.7
2344	756.57	2.03	80.0	258	16.8
2351	755.87	1.96	80.2	258	16.9
2358	755.20	1.91	80.3	258	17.0
2365	754.57	1.87	80.3	258	17.1
2372	753.95	1.81	80.4	258	17.2
2378	753.35	1.74	80.8	258	17.3
2384	752.78	1.68	81.1	259	17.5
2390	752.22	1.62	81.4	259	17.6
2396	751.67	1.58	81.4	259	17.7
2402	751.13	1.57	81.2	259	17.9
2408	750.58	1.57	80.9	259	18.0
2413	750.04	1.56	80.6	260	18.2
2419	749.49	1.53	80.5	260	18.3
2426	748.92	1.48	80.6	260	18.5
2432	748.35	1.42	80.7	260	18.6
2438	747.79	1.37	80.9	260	18.8
2444	747.24	1.32	81.0	261	18.9
2450	746.69	1.26	81.1	261	19.1
2455	746.15	1.21	81.3	261	19.2
2461	745.64	1.17	81.4	261	19.3
2466	745.20	1.14	81.4	261	19.4
2470	744.82	1.12	81.4	261	19.5
2474	744.46	1.11	81.3	262	19.6
2478	744.07	1.12	81.2	262	19.7
2483	743.61	1.16	80.8	262	19.7
2488	743.09	1.19	80.4	262	19.7
2494	742.55	1.18	80.2	262	19.8
2500	742.03	1.14	80.2	262	19.8
2505	741.53	1.10	80.2	262	19.8
2511	741.04	1.07	80.3	262	19.8
2516	740.56	1.03	80.3	263	19.8
2521	740.07	0.99	80.4	263	19.8
2527	739.56	0.94	80.5	263	19.7
2532	739.04	0.89	80.7	263	19.7
2537	738.58	0.84	80.8	263	19.7
2542	738.15	0.80	81.0	263	19.6
2547	737.68	0.77	81.1	263	19.5
2553	737.14	0.73	81.3	264	19.5
2559	736.56	0.68	81.5	264	19.4
2566	736.00	0.63	81.8	264	19.4
2571	735.48	0.59	82.1	264	19.3
2576	735.01	0.55	82.3	264	19.2
2581	734.59	0.52	82.5	264	19.2
2585	734.20	0.49	82.6	264	19.1
2590	733.79	0.46	82.6	264	19.1
2595	733.34	0.43	82.6	265	19.0
2600	732.84	0.41	82.6	265	19.0
2606	732.30	0.37	82.6	265	18.9
2612	731.72	0.33	82.6	265	18.8
2619	731.12	0.27	82.7	265	18.8
2625	730.53	0.22	82.8	265	18.7
2631	729.99	0.16	83.0	265	18.7
2637	729.48	0.11	83.2	265	18.6
2642	728.99	0.06	83.5	266	18.5
2648	728.51	0.02	83.8	266	18.5
2653	728.04	-0.02	84.0	266	18.4
2658	727.61	-0.07	84.2	266	18.3
2662	727.20	-0.11	84.4	266	18.2
2667	726.80	-0.15	84.7	266	18.1
2671	726.40	-0.19	84.9	266	18.0
2675	726.00	-0.23	85.2	266	17.9
2680	725.61	-0.27	85.3	266	17.8
2684	725.22	-0.30	85.5	266	17.7
2689	724.77	-0.34	85.6	267	17.6
2695	724.27	-0.38	85.8	267	17.5
2701	723.71	-0.42	85.9	267	17.3
2707	723.14	-0.47	85.9	267	17.2
2713	722.60	-0.52	86.1	267	17.1
2718	722.12	-0.56	86.3	267	16.9
2723	721.68	-0.59	86.4	268	16.8
2728	721.25	-0.60	86.5	268	16.6
2733	720.81	-0.60	86.6	268	16.5
2738	720.36	-0.59	86.5	268	16.3
2743	719.90	-0.60	86.5	268	16.1
2748	719.43	-0.61	86.5	269	16.0
2753	718.97	-0.64	86.5	269	15.8
2758	718.55	-0.66	86.6	269	15.7
2763	718.12	-0.69	86.6	269	15.5
2768	717.67	-0.71	86.7	269	15.3
2773	717.21	-0.75	86.7	269	15.2
2778	716.74	-0.78	86.7	270	15.0
2783	716.26	-0.81	86.8	270	14.9
2789	715.75	-0.84	86.8	270	14.7
2795	715.24	-0.87	86.8	270	14.6
2800	714.75	-0.89	86.9	270	14.4
2806	714.28	-0.93	87.0	270	14.3
2810	713.84	-0.96	87.2	270	14.1
2815	713.43	-0.99	87.4	270	14.0
2819	713.05	-1.02	87.6	270	13.8
2824	712.66	-1.06	87.7	270	13.7
2828	712.27	-1.10	87.9	270	13.5
2833	711.87	-1.15	88.0	269	13.4
2837	711.44	-1.19	88.2	269	13.3
2842	710.98	-1.23	88.3	269	13.1
2848	710.49	-1.24	88.2	269	13.0
2854	709.97	-1.25	88.1	268	12.8
2860	709.45	-1.26	87.9	268	12.7
2866	708.93	-1.28	87.8	267	12.6
2871	708.43	-1.29	87.6	267	12.4
2876	707.96	-1.31	87.5	266	12.3
2882	707.50	-1.33	87.4	266	12.2
2887	707.02	-1.37	87.4	265	12.1
2893	706.48	-1.42	87.5	265	12.0
2899	705.94	-1.48	87.6	264	11.9
2905	705.43	-1.53	87.8	263	11.8
2911	704.94	-1.58	88.0	262	11.7
2916	704.42	-1.63	88.2	262	11.6
2923	703.86	-1.70	88.4	261	11.6
2929	703.29	-1.76	88.7	260	11.5
2936	702.73	-1.83	88.9	259	11.5
2941	702.22	-1.88	89.0	258	11.4
2946	701.78	-1.92	89.2	257	11.4
2951	701.39	-1.96	89.4	256	11.4
2955	701.04	-1.99	89.7	256	11.4
2959	700.70	-2.03	89.9	255	11.3
2962	700.37	-2.08	90.1	254	11.3
2966	700.05	-2.11	90.3	253	11.3
2970	699.72	-2.15	90.4	253	11.3
2974	699.37	-2.18	90.5	252	11.4
2978	699.00	-2.21	90.7	252	11.4
2982	698.62	-2.25	90.8	251	11.4
2986	698.26	-2.29	91.0	251	11.4
2990	697.91	-2.32	91.1	250	11.4
2995	697.51	-2.36	91.3	250	11.4
3001	697.02	-2.41	91.6	250	11.4
3007	696.42	-2.47	91.8	249	11.4
3014	695.79	-2.54	92.1	249	11.5
3021	695.21	-2.62	92.4	249	11.5
3027	694.68	-2.68	92.7	249	11.5
3033	694.20	-2.73	92.9	249	11.5
3038	693.73	-2.77	93.1	249	11.5
3043	693.26	-2.81	93.3	249	11.5
3049	692.80	-2.85	93.4	249	11.6
3054	692.36	-2.89	93.5	250	11.6
3058	691.96	-2.94	93.7	250	11.6
3063	691.59	-2.98	94.1	250	11.6
3066	691.25	-3.03	94.4	250	11.6
3070	690.90	-3.06	94.7	250	11.7
3075	690.52	-3.10	94.9	251	11.7
3080	690.10	-3.13	95.0	251	11.8
3085	689.67	-3.16	95.0	251	11.8
3090	689.20	-3.20	95.0	252	11.8
3096	688.69	-3.24	95.1	252	11.9
3102	688.17	-3.29	95.3	252	11.9
3108	687.67	-3.34	95.5	253	12.0
3113	687.20	-3.39	95.8	253	12.0
3118	686.75	-3.44	96.0	253	12.1
3124	686.28	-3.49	96.2	254	12.1
3129	685.80	-3.55	96.5	254	12.2
3134	685.34	-3.59	96.8	254	12.2
3139	684.91	-3.63	96.9	255	12.2
3144	684.50	-3.65	97.0	255	12.3
3149	684.09	-3.68	97.1	255	12.3
3154	683.67	-3.71	97.1	255	12.3
3159	683.23	-3.72	96.8	256	12.4
3164	682.75	-3.73	96.2	256	12.4
3170	682.26	-3.74	95.8	256	12.4
3175	681.81	-3.76	95.6	257	12.4
3180	681.41	-3.80	95.5	257	12.4
3185	681.01	-3.84	95.5	257	12.4
3190	680.56	-3.87	95.5	257	12.5
3196	680.06	-3.91	95.3	258	12.5
3201	679.57	-3.96	95.1	258	12.4
3206	679.13	-3.99	95.0	258	12.4
3211	678.73	-4.02	95.1	258	12.4
3216	678.34	-4.06	95.2	259	12.4
3221	677.92	-4.10	95.3	259	12.4
3225	677.49	-4.15	95.5	259	12.4
3230	677.09	-4.19	95.5	259	12.4
3234	676.73	-4.23	95.5	259	12.4
3238	676.40	-4.25	95.5	259	12.4
3242	676.05	-4.28	95.5	260	12.4
3247	675.67	-4.31	95.3	260	12.4
3251	675.28	-4.34	95.2	260	12.4
3256	674.90	-4.38	95.0	260	12.4
3260	674.54	-4.42	95.0	260	12.4
3264	674.18	-4.45	95.1	260	12.4
3268	673.81	-4.48	95.1	260	12.4
3273	673.43	-4.51	95.1	260	12.4
3278	673.03	-4.52	94.9	260	12.5
3282	672.61	-4.55	94.7	260	12.5
3288	672.18	-4.59	94.7	260	12.5
3293	671.75	-4.63	94.8	260	12.5
