/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Juliane Hempelt
Cruise: PS113


Coverage:	LATITUDE: -19.66389 * LONGITUDE: -33.65251
	DATE/TIME START: 2018-05-19T11:10:13 * DATE/TIME END: 2018-05-19T12:45:55
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 31196m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
957	910.31	16.78	91.0	 53	10.3
962	909.69	16.73	91.3	 53	10.2
968	909.10	16.70	91.7	 52	10.2
974	908.50	16.66	92.1	 52	10.2
980	907.84	16.62	92.3	 52	10.1
987	907.11	16.57	92.4	 51	10.1
994	906.34	16.52	92.6	 51	10.1
1001	905.59	16.47	92.8	 51	10.0
1008	904.90	16.41	92.9	 50	10.0
1014	904.26	16.36	93.0	 50	10.0
1019	903.66	16.32	93.2	 50	9.9
1025	903.08	16.28	93.4	 50	9.9
1030	902.52	16.23	93.7	 49	9.8
1035	901.94	16.18	94.1	 49	9.8
1041	901.36	16.14	94.6	 49	9.7
1046	900.79	16.09	95.0	 49	9.7
1052	900.22	16.06	95.3	 48	9.6
1057	899.63	16.01	95.7	 48	9.6
1063	899.04	15.96	95.9	 48	9.5
1068	898.48	15.91	96.1	 47	9.4
1073	897.94	15.86	96.3	 47	9.4
1079	897.38	15.82	96.3	 47	9.3
1084	896.80	15.78	96.0	 47	9.2
1090	896.21	15.77	95.1	 46	9.2
1095	895.63	15.78	93.7	 46	9.1
1101	895.09	15.79	92.5	 46	9.0
1105	894.58	15.79	91.6	 46	9.0
1110	894.09	15.78	91.0	 45	8.9
1115	893.59	15.77	90.6	 45	8.8
1120	893.06	15.75	90.3	 45	8.7
1125	892.51	15.73	90.1	 44	8.7
1130	891.98	15.71	89.9	 44	8.6
1135	891.51	15.70	89.6	 44	8.6
1139	891.10	15.70	89.4	 44	8.5
1142	890.70	15.69	89.1	 43	8.4
1147	890.24	15.66	88.9	 43	8.4
1152	889.70	15.63	88.8	 43	8.3
1158	889.11	15.59	88.6	 43	8.3
1163	888.52	15.54	88.6	 43	8.2
1169	887.96	15.49	88.6	 43	8.2
1174	887.40	15.44	88.6	 43	8.1
1179	886.84	15.41	88.2	 43	8.1
1185	886.27	15.39	87.3	 43	8.1
1190	885.72	15.38	86.4	 43	8.1
1195	885.18	15.35	85.9	 43	8.0
1200	884.65	15.30	85.8	 44	8.0
1205	884.12	15.25	85.9	 44	8.0
1211	883.59	15.18	86.0	 44	8.0
1216	883.04	15.12	86.1	 45	8.0
1221	882.45	15.07	86.3	 45	8.0
1228	881.82	15.03	86.4	 45	8.0
1234	881.20	14.99	86.3	 46	8.0
1239	880.60	14.98	85.9	 46	8.0
1245	880.03	14.98	85.3	 47	8.0
1250	879.51	15.00	84.6	 47	8.1
1255	879.01	15.00	84.1	 48	8.1
1260	878.45	14.99	83.7	 48	8.1
1266	877.83	14.95	83.7	 49	8.1
1272	877.22	14.89	83.7	 49	8.2
1277	876.66	14.84	83.8	 50	8.2
1282	876.15	14.80	84.0	 50	8.2
1287	875.64	14.75	84.5	 50	8.3
1292	875.14	14.71	85.2	 51	8.3
1296	874.68	14.67	85.9	 51	8.3
1301	874.27	14.63	86.2	 51	8.4
1304	873.86	14.60	86.3	 51	8.4
1309	873.43	14.56	86.4	 51	8.4
1313	872.95	14.52	86.8	 51	8.5
1318	872.44	14.47	87.3	 51	8.5
1324	871.89	14.41	88.2	 51	8.5
1329	871.33	14.35	89.2	 51	8.6
1334	870.78	14.30	90.1	 50	8.6
1339	870.26	14.25	90.8	 50	8.6
1344	869.77	14.21	91.3	 50	8.6
1349	869.30	14.17	91.5	 50	8.7
1353	868.84	14.14	91.3	 49	8.7
1358	868.38	14.10	91.1	 49	8.7
1362	867.91	14.07	91.0	 49	8.7
1367	867.43	14.03	91.1	 48	8.7
1372	866.94	13.99	91.2	 48	8.8
1377	866.41	13.96	91.2	 48	8.8
1382	865.85	13.92	91.4	 48	8.8
1388	865.29	13.89	91.7	 47	8.8
1394	864.72	13.85	92.2	 47	8.8
1399	864.13	13.81	92.7	 47	8.8
1405	863.55	13.76	93.0	 47	8.8
1410	862.99	13.72	93.1	 47	8.7
1416	862.45	13.68	93.1	 47	8.7
1421	861.91	13.64	93.0	 47	8.7
1426	861.36	13.58	92.8	 47	8.7
1432	860.81	13.53	92.7	 47	8.7
1437	860.24	13.47	92.8	 47	8.6
1443	859.66	13.42	93.0	 47	8.6
1449	859.06	13.37	93.3	 48	8.6
1455	858.49	13.31	93.6	 48	8.6
1460	857.95	13.27	93.7	 48	8.6
1465	857.46	13.24	93.9	 48	8.5
1469	856.99	13.21	94.0	 48	8.5
1474	856.53	13.19	94.3	 48	8.5
1478	856.09	13.16	94.5	 48	8.4
1483	855.63	13.13	94.7	 48	8.4
1487	855.17	13.09	94.8	 48	8.4
1492	854.69	13.05	94.8	 48	8.4
1497	854.18	13.00	94.7	 48	8.3
1502	853.64	12.96	94.6	 47	8.3
1508	853.09	12.92	94.7	 47	8.3
1513	852.56	12.89	95.0	 47	8.3
1518	852.06	12.86	95.1	 47	8.2
1523	851.56	12.84	95.0	 46	8.2
1528	851.05	12.80	95.2	 46	8.2
1533	850.53	12.75	95.7	 45	8.2
1538	850.03	12.70	96.3	 45	8.2
1543	849.50	12.65	96.9	 45	8.1
1549	848.95	12.61	97.4	 44	8.1
1554	848.41	12.58	97.7	 44	8.1
1559	847.92	12.55	98.0	 43	8.1
1563	847.47	12.51	98.2	 43	8.1
1568	847.04	12.48	98.2	 43	8.1
1572	846.59	12.46	98.0	 42	8.1
1577	846.13	12.44	97.6	 42	8.1
1581	845.68	12.42	97.2	 42	8.2
1586	845.25	12.41	96.6	 41	8.2
1590	844.81	12.39	95.9	 41	8.2
1594	844.36	12.37	95.4	 41	8.2
1599	843.89	12.34	95.2	 41	8.2
1604	843.40	12.30	95.2	 41	8.2
1609	842.92	12.26	95.3	 41	8.2
1614	842.44	12.23	95.4	 41	8.3
1618	841.94	12.20	95.7	 41	8.3
1624	841.42	12.18	96.2	 41	8.3
1629	840.89	12.16	96.9	 41	8.3
1634	840.35	12.14	97.5	 41	8.3
1640	839.81	12.11	97.9	 42	8.3
1645	839.31	12.08	98.2	 42	8.3
1649	838.86	12.05	98.4	 42	8.3
1654	838.44	12.02	98.6	 43	8.4
1658	838.00	12.00	98.8	 43	8.4
1662	837.55	11.98	99.1	 43	8.4
1667	837.08	11.97	99.3	 44	8.4
1672	836.56	11.96	99.5	 44	8.4
1678	836.00	11.97	99.8	 45	8.4
1684	835.42	11.97	100.0	 45	8.4
1690	834.82	11.96	100.0	 45	8.4
1696	834.25	11.94	100.0	 46	8.4
1701	833.69	11.91	100.0	 46	8.4
1707	833.11	11.88	100.0	 47	8.4
1713	832.53	11.86	100.0	 47	8.4
1718	831.98	11.85	100.0	 47	8.4
1723	831.48	11.85	100.0	 48	8.4
1728	831.01	11.84	100.0	 48	8.4
1733	830.52	11.83	100.0	 48	8.4
1738	830.03	11.82	100.0	 49	8.4
1743	829.56	11.80	100.0	 49	8.4
1747	829.12	11.78	100.0	 49	8.4
1752	828.65	11.75	100.0	 50	8.4
1758	828.11	11.72	100.0	 50	8.4
1763	827.53	11.70	100.0	 50	8.4
1769	827.00	11.68	100.0	 50	8.5
1774	826.53	11.67	100.0	 50	8.5
1778	826.06	11.66	100.0	 51	8.5
1784	825.53	11.65	100.0	 51	8.5
1790	824.93	11.63	100.0	 51	8.5
1796	824.31	11.59	100.0	 51	8.6
1803	823.69	11.54	100.0	 51	8.6
1809	823.09	11.48	100.0	 52	8.6
1814	822.53	11.45	100.0	 52	8.6
1820	821.98	11.46	100.0	 52	8.7
1826	821.40	11.51	100.0	 52	8.7
1832	820.79	11.55	100.0	 52	8.7
1838	820.20	11.57	100.0	 52	8.7
1844	819.65	11.57	100.0	 52	8.7
1849	819.09	11.56	100.0	 52	8.8
1855	818.52	11.54	100.0	 52	8.8
1861	817.94	11.52	100.0	 53	8.8
1867	817.35	11.50	100.0	 53	8.8
1873	816.77	11.48	100.0	 53	8.8
1879	816.21	11.48	100.0	 53	8.8
1884	815.69	11.47	100.0	 53	8.8
1889	815.20	11.45	100.0	 53	8.8
1895	814.68	11.43	100.0	 53	8.8
1900	814.15	11.40	100.0	 52	8.8
1906	813.60	11.37	100.0	 52	8.8
1911	813.05	11.34	100.0	 52	8.8
1917	812.47	11.31	100.0	 52	8.8
1924	811.87	11.28	100.0	 52	8.8
1930	811.29	11.25	100.0	 52	8.7
1935	810.76	11.22	100.0	 52	8.7
1940	810.25	11.19	99.9	 52	8.7
1946	809.73	11.16	99.9	 52	8.7
1951	809.19	11.13	99.8	 51	8.6
1957	808.68	11.11	99.7	 51	8.6
1962	808.18	11.10	99.6	 51	8.6
1967	807.69	11.09	99.6	 51	8.6
1972	807.17	11.09	99.7	 51	8.5
1978	806.64	11.08	99.7	 51	8.5
1983	806.10	11.06	99.7	 50	8.5
1989	805.57	11.03	99.7	 50	8.5
1994	805.05	11.01	99.7	 50	8.4
2000	804.51	10.97	99.7	 50	8.4
2006	803.97	10.94	99.7	 50	8.4
2011	803.43	10.91	99.8	 50	8.4
2017	802.90	10.89	99.8	 50	8.4
2022	802.37	10.87	99.8	 50	8.4
2028	801.84	10.85	99.8	 49	8.4
2033	801.32	10.83	99.8	 49	8.4
2039	800.78	10.81	99.8	 49	8.4
2044	800.24	10.79	99.7	 49	8.4
2050	799.70	10.77	99.7	 49	8.4
2056	799.18	10.75	99.6	 49	8.5
2061	798.68	10.73	99.5	 49	8.5
2066	798.18	10.70	99.6	 49	8.5
2071	797.67	10.69	99.6	 49	8.6
2077	797.13	10.67	99.7	 49	8.6
2083	796.59	10.64	99.7	 49	8.6
2088	796.07	10.62	99.7	 49	8.7
2094	795.56	10.59	99.8	 49	8.7
2099	795.04	10.57	99.8	 49	8.8
2104	794.52	10.55	99.8	 49	8.9
2110	794.02	10.53	99.8	 49	8.9
2115	793.50	10.51	99.7	 49	9.0
2121	792.99	10.47	99.7	 50	9.0
2126	792.47	10.44	99.7	 50	9.1
2131	791.95	10.42	99.6	 50	9.2
2137	791.45	10.41	99.6	 50	9.3
2142	790.96	10.41	99.6	 50	9.3
2147	790.48	10.40	99.6	 50	9.4
2152	789.96	10.39	99.5	 50	9.5
2158	789.41	10.37	99.4	 51	9.6
2164	788.84	10.34	99.4	 51	9.7
2170	788.27	10.31	99.4	 51	9.8
2176	787.75	10.28	99.4	 51	9.9
2181	787.28	10.27	99.4	 51	9.9
2186	786.83	10.26	99.4	 51	10.0
2191	786.37	10.25	99.3	 51	10.1
2196	785.88	10.24	99.2	 51	10.2
2201	785.38	10.22	99.2	 51	10.3
2206	784.90	10.19	99.2	 51	10.3
2211	784.44	10.16	99.1	 51	10.4
2216	783.98	10.13	99.0	 51	10.5
2221	783.50	10.10	99.0	 51	10.5
2226	783.01	10.06	99.0	 50	10.6
2232	782.50	10.04	99.0	 50	10.6
2237	781.96	10.01	99.1	 50	10.7
2244	781.39	9.98	99.1	 50	10.7
2250	780.75	9.94	99.1	 50	10.8
2257	780.10	9.90	99.1	 49	10.8
2264	779.50	9.87	99.1	 49	10.8
2269	778.99	9.85	99.1	 49	10.9
2274	778.56	9.83	99.1	 49	10.9
2278	778.12	9.80	99.1	 48	10.9
2283	777.65	9.77	99.1	 48	10.9
2289	777.17	9.75	99.2	 48	10.9
2294	776.71	9.73	99.1	 48	11.0
2298	776.28	9.71	99.1	 47	11.0
2303	775.84	9.69	99.1	 47	11.0
2308	775.37	9.68	99.1	 47	11.0
2314	774.85	9.68	99.2	 47	11.0
2320	774.26	9.66	99.3	 46	11.0
2327	773.62	9.61	99.3	 46	11.0
2333	773.01	9.56	99.3	 46	11.1
2339	772.50	9.51	99.3	 46	11.1
2344	772.07	9.49	99.2	 45	11.1
2348	771.65	9.47	98.8	 45	11.1
2353	771.22	9.45	98.4	 45	11.1
2357	770.80	9.42	98.0	 45	11.1
2361	770.40	9.38	97.8	 45	11.2
2366	769.95	9.35	97.8	 44	11.2
2372	769.42	9.32	97.8	 44	11.2
2378	768.85	9.29	97.8	 44	11.2
2384	768.29	9.27	97.8	 44	11.2
2390	767.78	9.24	97.7	 44	11.2
2395	767.29	9.21	97.7	 44	11.2
2400	766.79	9.18	97.7	 44	11.2
2406	766.29	9.15	97.7	 44	11.2
2411	765.80	9.12	97.7	 44	11.2
2416	765.32	9.09	97.8	 44	11.2
2422	764.82	9.07	97.9	 44	11.2
2428	764.27	9.04	97.8	 44	11.2
2434	763.72	9.00	97.7	 44	11.2
2440	763.20	8.94	97.7	 44	11.2
2445	762.69	8.89	97.8	 44	11.1
2451	762.18	8.86	97.8	 44	11.1
2456	761.66	8.83	97.8	 44	11.1
2462	761.13	8.80	97.8	 44	11.0
2468	760.57	8.76	97.8	 45	11.0
2474	760.01	8.73	97.8	 45	10.9
2480	759.46	8.71	97.8	 45	10.8
2486	758.93	8.68	97.8	 45	10.7
2492	758.41	8.66	97.7	 46	10.7
2497	757.91	8.63	97.8	 46	10.6
2503	757.41	8.60	97.8	 47	10.5
2508	756.90	8.56	97.8	 47	10.4
2514	756.38	8.51	97.8	 48	10.3
2520	755.86	8.47	97.8	 48	10.2
2525	755.36	8.44	97.8	 49	10.0
2531	754.85	8.42	97.8	 49	9.9
2536	754.33	8.42	98.0	 50	9.8
2542	753.84	8.44	98.4	 51	9.7
2547	753.40	8.50	88.6	 52	9.5
2551	752.98	8.68	79.4	 52	9.4
2556	752.54	9.10	69.7	 53	9.3
2562	752.05	9.75	58.9	 54	9.1
2567	751.53	10.52	47.5	 55	9.0
2573	751.01	11.34	36.1	 56	8.9
2578	750.53	12.12	25.4	 57	8.8
2583	750.09	12.69	17.0	 58	8.7
2588	749.65	12.99	11.7	 59	8.6
2593	749.20	13.12	8.9	 60	8.5
2599	748.72	13.15	7.7	 61	8.4
2604	748.22	13.14	7.1	 62	8.3
2610	747.69	13.12	6.6	 63	8.2
2617	747.12	13.11	6.2	 64	8.1
2623	746.54	13.14	6.1	 65	8.0
2629	745.99	13.20	6.2	 66	7.9
2635	745.48	13.25	6.3	 67	7.9
2640	745.01	13.25	6.2	 67	7.8
2645	744.57	13.24	5.8	 68	7.7
2650	744.16	13.21	5.2	 69	7.7
2654	743.76	13.19	4.7	 69	7.6
2659	743.32	13.17	4.5	 70	7.6
2665	742.84	13.17	4.6	 70	7.5
2671	742.33	13.15	4.8	 71	7.4
2676	741.82	13.12	4.9	 71	7.4
2682	741.33	13.08	5.0	 72	7.3
2687	740.84	13.03	5.0	 72	7.2
2693	740.33	12.98	5.0	 72	7.2
2699	739.80	12.92	5.0	 73	7.1
2705	739.28	12.87	5.0	 73	7.0
2711	738.78	12.84	5.1	 74	7.0
2716	738.29	12.82	5.1	 74	6.9
2722	737.80	12.80	5.1	 74	6.8
2728	737.30	12.78	5.0	 75	6.7
2733	736.82	12.74	5.0	 75	6.7
2738	736.37	12.70	5.0	 75	6.6
2743	735.93	12.67	5.0	 75	6.5
2748	735.47	12.64	4.9	 76	6.4
2754	735.00	12.61	4.9	 76	6.3
2759	734.51	12.57	4.8	 77	6.2
2765	734.02	12.52	4.8	 77	6.2
2770	733.53	12.48	4.8	 77	6.1
2776	733.05	12.45	4.8	 78	6.0
2781	732.58	12.41	4.8	 78	5.9
2787	732.11	12.37	4.8	 78	5.8
2792	731.66	12.33	4.8	 79	5.7
2797	731.20	12.28	4.8	 79	5.7
2802	730.73	12.23	4.8	 79	5.6
2808	730.27	12.18	4.8	 80	5.5
2813	729.83	12.13	4.9	 80	5.5
2817	729.45	12.11	4.9	 80	5.4
2821	729.11	12.11	4.8	 80	5.4
2825	728.77	12.12	4.8	 81	5.3
2829	728.41	12.15	4.8	 81	5.3
2833	728.02	12.17	4.8	 81	5.2
2838	727.59	12.17	4.8	 81	5.2
2844	727.13	12.15	4.8	 81	5.2
2849	726.65	12.11	4.7	 81	5.2
2855	726.17	12.08	4.7	 81	5.1
2860	725.70	12.05	4.8	 82	5.1
2866	725.23	12.03	4.9	 82	5.1
2871	724.77	12.03	5.1	 82	5.1
2876	724.33	12.03	5.2	 82	5.1
2881	723.90	12.03	5.1	 82	5.0
2886	723.46	12.01	5.0	 82	5.0
2891	723.02	11.98	4.9	 82	5.0
2896	722.57	11.94	4.8	 81	5.0
2901	722.14	11.92	4.7	 81	5.0
2906	721.74	11.90	4.7	 81	4.9
2910	721.35	11.87	4.6	 81	4.9
2915	720.95	11.84	4.6	 81	4.9
2920	720.51	11.81	4.6	 81	4.8
2925	720.06	11.80	4.6	 80	4.8
2931	719.60	11.81	4.6	 80	4.7
2936	719.16	11.80	4.6	 79	4.7
2941	718.73	11.78	4.7	 79	4.6
2946	718.28	11.74	4.9	 78	4.6
2951	717.81	11.69	5.0	 78	4.5
2957	717.34	11.66	4.8	 77	4.5
2962	716.90	11.63	4.5	 76	4.4
2967	716.48	11.60	4.3	 76	4.4
2971	716.09	11.56	4.3	 75	4.3
2976	715.67	11.51	4.4	 74	4.2
2981	715.22	11.47	4.6	 73	4.2
2987	714.76	11.42	4.7	 72	4.1
2992	714.30	11.37	4.7	 71	4.1
2997	713.87	11.32	4.5	 70	4.0
3003	713.41	11.28	4.4	 69	4.0
3008	712.93	11.23	4.2	 67	3.9
3014	712.42	11.19	4.1	 66	3.9
3020	711.90	11.14	4.1	 65	3.8
3026	711.38	11.10	4.1	 63	3.8
3032	710.90	11.05	4.1	 62	3.8
3037	710.45	11.02	4.2	 61	3.8
3043	709.99	10.99	4.2	 59	3.7
3048	709.51	10.97	4.3	 58	3.7
3054	709.01	10.95	4.2	 56	3.7
3060	708.53	10.90	4.2	 55	3.7
3065	708.09	10.86	4.2	 54	3.7
3070	707.66	10.84	4.2	 52	3.7
3075	707.22	10.83	4.1	 51	3.7
3081	706.76	10.83	4.0	 49	3.7
3086	706.27	10.84	4.0	 48	3.8
3092	705.77	10.84	3.9	 47	3.8
3098	705.27	10.83	3.8	 46	3.8
3103	704.81	10.82	3.8	 45	3.9
3108	704.40	10.81	3.9	 43	3.9
3113	704.00	10.83	4.0	 43	3.9
3118	703.56	10.88	3.9	 42	4.0
3124	703.07	10.93	3.6	 41	4.0
3131	702.52	10.97	3.2	 40	4.0
3137	701.95	10.96	2.9	 39	4.1
3144	701.38	10.95	2.7	 38	4.1
3151	700.83	10.93	2.5	 38	4.1
3157	700.31	10.91	2.5	 37	4.2
3162	699.83	10.88	2.5	 37	4.2
3168	699.40	10.85	2.6	 36	4.2
3173	698.96	10.83	2.8	 36	4.2
3179	698.48	10.79	2.8	 35	4.3
3185	697.95	10.74	2.7	 35	4.3
3191	697.42	10.69	2.5	 34	4.3
3197	696.91	10.65	2.3	 33	4.3
3203	696.43	10.63	2.2	 33	4.3
